"","AGE","AVPREARN","BENEPAID","BENPDBYE","BENYRBEG","BLACK","BONELIGB","CLAIMDT","CONTROL","DEPALLOW","ELIG2","EXSTBEN1","EXSTBENY","HIE","HISPANIC","JSIE","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","LAGREE","MALE","MBASR","NATVAMER","NOHSUB","NOHSUB1","OTHERACE","POSPEARN","POSQEARN","PREPEARN","REFILEDT","REFILEIN","REHIRE11","REHIREDT","REHIREIN","RHIREARN","SRBEN1","SRBENYR","VCHPAID","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","WHITE","WKBENEFT","WKPAID","WKSPDBYE"
"3698",36,6695,7733,7733,9011,0,0,9011,0,48,1,1,1,1,0,0,7316,5455,6820,7188,1,1,5434,0,0,0,0,3592,3592,5700,NA,0,0,NA,0,0,5434,5434,0,5700,830,0,0,0,3592,1,161,37,37
"3699",35,3800,483,483,8997,0,1,8997,0,0,1,0,0,0,0,1,0,5950,4625,4625,1,0,4186,0,1,1,0,3468,3468,5250,NA,0,1,9026,1,1,483,483,1,5250,3030,3468,4012,4645,2821,1,161,3,3
"3700",35,6211,1045,5434,9067,1,0,9067,0,48,1,0,1,1,0,0,5699,5850,6376,6919,1,1,5434,0,1,1,0,3546,3546,4808,9193,1,1,9110,1,1,1045,5434,0,5699,4808,2185,3546,0,215,0,161,5,26
"3701",32,5983,209,209,9060,0,1,9060,0,48,1,0,0,0,0,1,7568,6026,6664,3673,1,1,5434,0,1,1,0,1921,1921,7726,NA,0,1,9076,1,1,209,209,1,7568,7726,5241,1921,5697,6142,1,161,1,1
"3702",37,2773,1272,1272,8976,0,0,8976,0,0,1,0,0,0,0,1,2850,2875,2717,2650,1,0,2756,0,0,0,0,1736,2925,2892,NA,0,0,9071,1,0,1272,1272,0,2892,795,1736,2925,0,3055,1,106,12,12
"3703",35,1948,3016,3016,9074,1,0,9074,0,27,1,1,1,0,0,1,3025,1412,1768,1587,1,0,3016,0,1,1,0,15,32,2992,NA,0,0,NA,0,0,3016,3016,0,3025,2992,1058,15,2478,32,0,89,26,26
"3704",29,4585,4186,4186,9039,0,0,9039,1,0,1,1,1,0,0,0,4846,4154,4846,4495,NA,0,4186,0,0,0,0,783,0,4154,NA,0,0,NA,0,0,4186,4186,0,4154,6330,783,0,0,0,1,161,26,26
"3705",36,2595,7106,7106,8976,0,0,8976,1,48,1,1,1,0,0,0,0,4542,4739,1098,NA,1,5434,0,0,0,0,304,0,3741,9027,1,0,NA,0,0,5434,5434,0,3741,598,304,0,0,0,1,161,34,34
"3706",33,4409,6118,6118,9018,1,0,9018,0,0,1,1,1,1,0,0,4709,4408,4018,4501,1,1,4186,0,0,0,0,116,0,4279,NA,0,0,NA,0,0,4186,4186,0,4279,3017,116,0,0,0,0,161,38,38
"3707",34,3767,5434,5434,8983,0,0,8983,1,48,1,1,1,0,0,0,0,2906,8735,3425,NA,0,5434,0,0,0,0,6591,0,7609,NA,0,0,NA,0,0,5434,5434,0,7609,3456,6591,1866,0,0,1,161,26,26
