"","AGE","AVPREARN","BONELIGB","CLAIMDT","DEPALLOW","ELIG2","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","MALE","MBASR","NOHSUB","NOHSUB1","POSPEARN","POSQEARN","PREPEARN","SRBEN1","SRBENYR","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","Z_HIE","Z_JSIE","A_HIE","A_JSIE","time_r","status_r","RACE"
"10915",44,4636,0,9067,0,1,4714,3998,5901,3933,0,4186,0,0,553,553,5003,0,2576,4714,5003,3642,553,6533,5215,0,1,0,1,9,1,"Black"
"10916",39,1434,0,9039,0,1,0,2433,2500,804,0,2392,0,0,193,0,2700,2392,2392,2700,2403,193,0,0,0,0,0,0,0,182,0,"Black"
"10917",41,7137,0,9018,48,1,8068,8375,5479,6624,1,5434,0,0,5423,0,8340,836,3344,8340,7516,5423,0,4397,7832,1,0,1,0,36,1,"Black"
"10918",43,3746,0,9053,0,1,4321,3840,4216,2608,0,4108,0,0,2040,2040,2712,3476,3476,4321,2712,1270,0,2040,0,0,1,0,0,169,1,"Black"
"10919",43,5239,0,8976,48,1,5100,6038,4577,5242,0,5434,0,0,1221,1221,4969,5434,5434,4969,2840,0,0,0,1221,0,0,0,0,182,0,"Black"
"10920",42,4327,0,9053,48,1,0,8351,7061,1896,1,5434,0,0,0,0,5515,5434,5434,8351,5515,1637,0,0,0,0,1,0,1,182,0,"Black"
"10921",45,4764,0,9053,48,1,5904,4305,3982,4863,1,5434,0,0,4629,4629,3496,209,627,5904,3496,3341,4629,4928,2735,0,1,0,1,14,1,"Black"
"10922",41,3271,0,8997,38,1,3328,3458,2920,3378,1,4290,0,0,600,1575,3160,4290,4290,3160,2760,0,0,600,1575,1,0,1,0,182,0,"Black"
"10923",42,3043,0,9067,37,1,2672,3512,2885,3104,0,4134,0,0,0,0,2963,477,477,2672,2963,1060,0,0,0,0,1,0,1,30,1,"Black"
"10924",40,7134,0,9060,48,1,11622,5832,5540,5540,1,5434,0,0,2923,5115,2640,4180,4180,11622,2640,0,2923,5115,4422,0,1,0,1,149,1,"Black"
"10925",36,4038,0,9011,48,1,0,6143,5849,4161,1,5434,0,0,0,0,5777,5434,5434,5777,6239,0,0,0,0,1,0,0,0,182,0,"Black"
"10926",38,6486,0,9053,48,1,5945,6612,6462,6924,0,5434,0,0,2102,0,5925,5434,5434,5945,5925,784,2102,0,0,0,0,0,0,182,0,"White"
"10927",39,7314,1,9061,48,1,8037,7952,7091,6175,0,5434,0,0,1088,1088,9149,0,0,9142,9149,33,1088,1449,925,0,1,0,0,7,1,"Black"
"10928",38,4376,0,9011,48,1,4665,4116,4790,3932,1,5434,0,0,0,0,4827,5434,5434,4827,3385,0,0,0,0,0,1,0,1,182,0,"Black"
"10929",37,7239,0,9060,48,1,9168,7550,6534,5704,1,5434,0,0,7377,0,7858,5434,5434,9168,7858,2227,0,7377,0,0,1,0,1,182,0,"Black"
"10930",36,1971,0,9046,26,1,1890,1524,1834,2637,1,2860,0,0,2625,2625,2220,2530,2530,1890,2220,1108,2625,2625,2625,1,0,1,0,182,0,"Black"
"10931",29,577,0,9039,0,1,0,0,1120,1188,1,1326,0,0,1220,336,0,561,561,0,533,1220,336,1162,0,1,0,0,0,100,1,"NativeAmerican"
"10932",27,3670,0,9039,44,1,3976,3942,3410,3353,1,4966,0,0,5685,5685,5290,0,4393,5290,6184,5685,883,1095,5385,0,1,0,1,21,1,"Black"
"10933",23,1525,0,9081,23,1,2175,1782,294,1851,0,2548,0,0,1893,2088,1907,1523,1523,2175,1907,1299,1893,2088,2046,1,0,1,0,119,1,"Black"
"10934",28,1351,0,8990,23,1,2511,354,961,1576,0,2574,0,0,3411,3411,3443,1980,1980,3443,1746,0,3411,3677,3285,0,0,0,0,182,0,"Black"
"10935",23,646,0,9018,0,1,315,1442,468,361,1,1326,0,0,70,0,0,510,510,0,0,0,0,0,70,0,0,0,0,93,1,"Black"
"10936",51,2328,0,9046,39,1,4211,1207,1188,2704,0,4342,0,0,2336,0,3255,3841,3841,4211,3255,1050,2336,0,0,0,1,0,1,170,1,"Black"
"10937",34,2069,0,9053,26,1,1873,2464,2066,1873,1,2860,0,0,0,0,0,2750,2750,1873,0,0,0,0,0,1,0,1,0,182,0,"Black"
"10938",53,1561,0,9011,0,1,1564,1519,1775,1388,1,1612,0,0,0,0,1414,0,0,1414,856,0,0,0,0,1,0,0,0,7,1,"Black"
